date,open,high,low,close,volume,vwap,transactions,ticker
2021-07-29,439.815,441.8,439.81,440.65,47397842.0,440.8157,303009,SPY
2021-07-30,437.91,440.06,437.77,438.51,68951202.0,438.8069,427130,SPY
2021-08-02,440.34,440.93,437.21,437.59,58399297.0,438.9469,409572,SPY
2021-08-03,438.44,441.28,436.1,441.15,57738850.0,439.1748,412417,SPY
2021-08-04,439.78,441.1243,438.73,438.98,46706212.0,439.705,337471,SPY
2021-08-05,440.22,441.85,439.88,441.76,38964559.0,440.6863,259461,SPY
2021-08-06,442.1,442.94,441.8,442.49,45812008.0,442.3052,283934,SPY
2021-08-09,442.46,442.795,441.31,442.13,41222585.0,442.2061,242109,SPY
2021-08-10,442.61,443.44,441.88,442.68,42975851.0,442.5943,266361,SPY
2021-08-11,443.82,443.882,442.62,443.78,43749190.0,443.3916,274051,SPY
2021-08-12,443.62,445.2572,442.66,445.11,38942418.0,444.1853,261155,SPY
2021-08-13,445.59,445.94,445.07,445.92,39441451.0,445.5441,234209,SPY
2021-08-16,444.53,447.11,442.87,446.97,73930864.0,445.2783,407360,SPY
2021-08-17,444.24,444.96,440.85,444.04,92651433.0,443.5632,594093,SPY
2021-08-18,442.96,444.625,438.92,439.18,89351931.0,441.7939,510458,SPY
2021-08-19,436.27,441.14,436.12,439.86,92689386.0,439.099,682355,SPY
2021-08-20,440.23,443.71,439.71,443.36,71819112.0,442.2624,410210,SPY
2021-08-23,445.16,448.23,443.4355,447.26,54968538.0,446.7581,322046,SPY
2021-08-24,447.97,448.54,447.42,447.97,38721714.0,447.9647,251170,SPY
2021-08-25,448.17,449.457,447.77,448.91,40529711.0,448.7852,251660,SPY
2021-08-26,448.61,448.86,446.16,446.26,57710772.0,447.238,441246,SPY
2021-08-27,447.12,450.65,447.06,450.25,77056613.0,449.4451,395689,SPY
2021-08-30,450.97,453.07,450.71,452.23,48357355.0,452.0586,297857,SPY
2021-08-31,452.13,452.49,450.92,451.56,58987985.0,451.7938,336320,SPY
2021-09-01,452.56,453.11,451.545,451.8,48580378.0,452.2969,334755,SPY
2021-09-02,453.32,454.05,451.91,453.19,40912367.0,452.9232,290617,SPY
2021-09-03,451.98,453.63,451.55,453.08,47231364.0,452.9032,309749,SPY
2021-09-07,452.71,452.81,450.7423,451.46,51921318.0,451.8342,352112,SPY
2021-09-08,450.89,451.67,448.86,450.91,56147907.0,450.5382,414394,SPY
2021-09-09,450.7,452.57,448.72,448.98,57935207.0,450.2357,411806,SPY
2021-09-10,451.04,451.49,445.31,445.44,89465874.0,447.6791,528437,SPY
2021-09-13,448.64,448.92,444.11,446.58,83969944.0,446.0005,595851,SPY
2021-09-14,448.12,448.34,443.22,444.17,79344873.0,444.9748,513360,SPY
2021-09-15,444.62,448.41,443.44,447.88,78937824.0,446.2478,478421,SPY
2021-09-16,447.32,448.36,444.02,447.17,77209185.0,446.5427,494053,SPY
2021-09-17,444.92,445.37,441.02,441.4,118047787.0,442.6771,719238,SPY
